legacy_sdr,directional_repair,same_side_residual,overcorrection,leak_recall,deletion_precision,legit_retention,introduced_distortion,n_keys,mechanism,mechanism_family,learner
"{'mean': 0.069394, 'ci_lo': 0.018116, 'ci_hi': 0.113305, 'P3_better_frac': 0.9957, 'n_tasks': 20, 'positive_task_frac': 0.8, 'median_task': 0.115202}","{'mean': 0.132738, 'ci_lo': 0.118367, 'ci_hi': 0.147286, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.134475}","{'mean': -0.132738, 'ci_lo': -0.147286, 'ci_hi': -0.118367, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.134475}","{'mean': 0.063343, 'ci_lo': 0.028283, 'ci_hi': 0.104839, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.025059}","{'mean': 0.6935, 'ci_lo': 0.6655, 'ci_hi': 0.7215, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.69}","{'mean': 0.192333, 'ci_lo': 0.175642, 'ci_hi': 0.208983, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.190417}","{'mean': 0.040702, 'ci_lo': 0.036665, 'ci_hi': 0.044871, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.0375}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0}",500,M01,simple,LR
"{'mean': 0.086892, 'ci_lo': 0.03441, 'ci_hi': 0.132254, 'P3_better_frac': 0.9989, 'n_tasks': 20, 'positive_task_frac': 0.8, 'median_task': 0.133296}","{'mean': 0.152854, 'ci_lo': 0.136967, 'ci_hi': 0.168754, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.156552}","{'mean': -0.152854, 'ci_lo': -0.168754, 'ci_hi': -0.136967, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.156552}","{'mean': 0.065962, 'ci_lo': 0.029654, 'ci_hi': 0.108523, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.8, 'median_task': 0.026657}","{'mean': 0.7655, 'ci_lo': 0.742, 'ci_hi': 0.787, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.765}","{'mean': 0.212633, 'ci_lo': 0.194441, 'ci_hi': 0.230525, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.20875}","{'mean': 0.045135, 'ci_lo': 0.040404, 'ci_hi': 0.050063, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.041}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0}",500,M02,simple,LR
"{'mean': -0.056751, 'ci_lo': -0.097517, 'ci_hi': -0.021906, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.3, 'median_task': -0.019357}","{'mean': -0.026598, 'ci_lo': -0.051592, 'ci_hi': -0.007105, 'P3_better_frac': 0.0001, 'n_tasks': 20, 'positive_task_frac': 0.35, 'median_task': -0.008373}","{'mean': 0.026598, 'ci_lo': 0.007105, 'ci_hi': 0.051592, 'P3_better_frac': 0.9999, 'n_tasks': 20, 'positive_task_frac': 0.65, 'median_task': 0.008373}","{'mean': 0.028914, 'ci_lo': 0.00948, 'ci_hi': 0.053022, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.55, 'median_task': 0.00909}","{'mean': -0.1105, 'ci_lo': -0.162, 'ci_hi': -0.053, 'P3_better_frac': 0.0003, 'n_tasks': 20, 'positive_task_frac': 0.1, 'median_task': -0.145}","{'mean': -0.033333, 'ci_lo': -0.050275, 'ci_hi': -0.01495, 'P3_better_frac': 0.0003, 'n_tasks': 20, 'positive_task_frac': 0.1, 'median_task': -0.038}","{'mean': -0.007073, 'ci_lo': -0.01101, 'ci_hi': -0.002854, 'P3_better_frac': 0.0008, 'n_tasks': 20, 'positive_task_frac': 0.1, 'median_task': -0.0075}","{'mean': 0.001239, 'ci_lo': 0.000104, 'ci_hi': 0.002774, 'P3_better_frac': 0.986, 'n_tasks': 20, 'positive_task_frac': 0.2, 'median_task': 0.0}",500,M03,boundary,LR
"{'mean': -0.056774, 'ci_lo': -0.097424, 'ci_hi': -0.02217, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.3, 'median_task': -0.021181}","{'mean': -0.035, 'ci_lo': -0.060462, 'ci_hi': -0.013063, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.35, 'median_task': -0.009533}","{'mean': 0.035, 'ci_lo': 0.013063, 'ci_hi': 0.060462, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.65, 'median_task': 0.009533}","{'mean': 0.02156, 'ci_lo': 0.007713, 'ci_hi': 0.038042, 'P3_better_frac': 0.9999, 'n_tasks': 20, 'positive_task_frac': 0.65, 'median_task': 0.005565}","{'mean': -0.0925, 'ci_lo': -0.119, 'ci_hi': -0.067488, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.05, 'median_task': -0.09}","{'mean': -0.026867, 'ci_lo': -0.035808, 'ci_hi': -0.018742, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.05, 'median_task': -0.022917}","{'mean': -0.005673, 'ci_lo': -0.007537, 'ci_hi': -0.003962, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.05, 'median_task': -0.005208}","{'mean': 0.000214, 'ci_lo': -0.000223, 'ci_hi': 0.000856, 'P3_better_frac': 0.7492, 'n_tasks': 20, 'positive_task_frac': 0.2, 'median_task': 0.0}",500,M04,structured,LR
"{'mean': -0.056234, 'ci_lo': -0.096701, 'ci_hi': -0.02177, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.3, 'median_task': -0.020718}","{'mean': -0.029897, 'ci_lo': -0.054582, 'ci_hi': -0.009692, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.4, 'median_task': -0.007256}","{'mean': 0.029897, 'ci_lo': 0.009692, 'ci_hi': 0.054582, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.6, 'median_task': 0.007256}","{'mean': 0.024652, 'ci_lo': 0.009233, 'ci_hi': 0.042753, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.7, 'median_task': 0.008971}","{'mean': -0.0925, 'ci_lo': -0.135, 'ci_hi': -0.043488, 'P3_better_frac': 0.0003, 'n_tasks': 20, 'positive_task_frac': 0.15, 'median_task': -0.105}","{'mean': -0.0281, 'ci_lo': -0.041425, 'ci_hi': -0.013758, 'P3_better_frac': 0.0001, 'n_tasks': 20, 'positive_task_frac': 0.15, 'median_task': -0.030417}","{'mean': -0.00619, 'ci_lo': -0.009171, 'ci_hi': -0.003079, 'P3_better_frac': 0.0001, 'n_tasks': 20, 'positive_task_frac': 0.15, 'median_task': -0.006875}","{'mean': 0.001685, 'ci_lo': 0.000276, 'ci_hi': 0.003584, 'P3_better_frac': 0.997, 'n_tasks': 20, 'positive_task_frac': 0.25, 'median_task': 0.0}",500,M05,structured,LR
"{'mean': 0.110223, 'ci_lo': 0.078673, 'ci_hi': 0.140417, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.95, 'median_task': 0.127738}","{'mean': 0.140318, 'ci_lo': 0.119184, 'ci_hi': 0.162239, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.141171}","{'mean': -0.140318, 'ci_lo': -0.162239, 'ci_hi': -0.119184, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.141171}","{'mean': 0.030095, 'ci_lo': 0.013285, 'ci_hi': 0.051, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.9, 'median_task': 0.011487}","{'mean': 0.678613, 'ci_lo': 0.648854, 'ci_hi': 0.707438, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.691833}","{'mean': 0.548875, 'ci_lo': 0.537302, 'ci_hi': 0.559718, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.555533}","{'mean': 0.14302, 'ci_lo': 0.136662, 'ci_hi': 0.149392, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.142712}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0}",500,M06,simple,LR
"{'mean': 0.018239, 'ci_lo': -0.030518, 'ci_hi': 0.059451, 'P3_better_frac': 0.7877, 'n_tasks': 20, 'positive_task_frac': 0.8, 'median_task': 0.060023}","{'mean': 0.084167, 'ci_lo': 0.07534, 'ci_hi': 0.092946, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.087019}","{'mean': -0.084167, 'ci_lo': -0.092946, 'ci_hi': -0.07534, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.087019}","{'mean': 0.065928, 'ci_lo': 0.028953, 'ci_hi': 0.109363, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.023813}","{'mean': 0.6495, 'ci_lo': 0.6135, 'ci_hi': 0.687, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.64}","{'mean': 0.178967, 'ci_lo': 0.1645, 'ci_hi': 0.193783, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.177083}","{'mean': 0.037902, 'ci_lo': 0.034242, 'ci_hi': 0.041688, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.03525}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0}",500,M07,boundary,LR
"{'mean': -0.051653, 'ci_lo': -0.090593, 'ci_hi': -0.018729, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.25, 'median_task': -0.015728}","{'mean': -0.00641, 'ci_lo': -0.015301, 'ci_hi': 0.000969, 'P3_better_frac': 0.0507, 'n_tasks': 20, 'positive_task_frac': 0.5, 'median_task': -0.000138}","{'mean': 0.00641, 'ci_lo': -0.000969, 'ci_hi': 0.015301, 'P3_better_frac': 0.9493, 'n_tasks': 20, 'positive_task_frac': 0.5, 'median_task': 0.000138}","{'mean': 0.045243, 'ci_lo': 0.016478, 'ci_hi': 0.079401, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.8, 'median_task': 0.012878}","{'mean': 0.3375, 'ci_lo': 0.2205, 'ci_hi': 0.4565, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.325}","{'mean': 0.087867, 'ci_lo': 0.058524, 'ci_hi': 0.117259, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.098333}","{'mean': 0.018402, 'ci_lo': 0.012035, 'ci_hi': 0.024817, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.021875}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0}",500,M08,structured,LR
"{'mean': 0.148903, 'ci_lo': 0.124562, 'ci_hi': 0.170701, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.156462}","{'mean': 0.164503, 'ci_lo': 0.151161, 'ci_hi': 0.178356, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.156621}","{'mean': -0.164503, 'ci_lo': -0.178356, 'ci_hi': -0.151161, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.156621}","{'mean': 0.0156, 'ci_lo': 0.002337, 'ci_hi': 0.032159, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.75, 'median_task': 0.000431}","{'mean': 0.260812, 'ci_lo': 0.2325, 'ci_hi': 0.292312, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.2475}","{'mean': 0.397925, 'ci_lo': 0.364575, 'ci_hi': 0.433158, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.386667}","{'mean': 0.119467, 'ci_lo': 0.107385, 'ci_hi': 0.1318, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.120312}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0}",500,M09,structured,LR
"{'mean': 0.110014, 'ci_lo': 0.062231, 'ci_hi': 0.150698, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.144982}","{'mean': 0.170177, 'ci_lo': 0.154015, 'ci_hi': 0.186583, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.171823}","{'mean': -0.170177, 'ci_lo': -0.186583, 'ci_hi': -0.154015, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.171823}","{'mean': 0.060163, 'ci_lo': 0.029388, 'ci_hi': 0.097104, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.02888}","{'mean': 0.786, 'ci_lo': 0.761, 'ci_hi': 0.809, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.8}","{'mean': 0.202158, 'ci_lo': 0.186925, 'ci_hi': 0.218367, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.2}","{'mean': 0.043592, 'ci_lo': 0.039318, 'ci_hi': 0.048173, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.039524}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0}",500,M10,simple,LR
